date	close
15-Mar-12	13
16-Mar-12	36
17-Mar-12	0
18-Mar-12	4
19-Mar-12	0
20-Mar-12	20
21-Mar-12	35
22-Mar-12	12
23-Mar-12	10
24-Mar-12	10
25-Mar-12	12
26-Mar-12	2
27-Mar-12	20
28-Mar-12	1
29-Mar-12	10
30-Mar-12	2
31-Mar-12	30
1-Apr-12	1
2-Apr-12	6
3-Apr-12	41
4-Apr-12	21
5-Apr-12	4
6-Apr-12	14
7-Apr-12	0
8-Apr-12	10
9-Apr-12	17
10-Apr-12	32
11-Apr-12	12
12-Apr-12	120
13-Apr-12	42
14-Apr-12	11
15-Apr-12	30
16-Apr-12	12
17-Apr-12	54
18-Apr-12	11
19-Apr-12	8
20-Apr-12	0
21-Apr-12	10
22-Apr-12	0
23-Apr-12	4
24-Apr-12	2
25-Apr-12	42
26-Apr-12	12
27-Apr-12	19
28-Apr-12	10
29-Apr-12	20
30-Apr-12	31
1-May-12	74
2-May-12	27
3-May-12	1
4-May-12	2
5-May-12	10
6-May-12	0
7-May-12	2
8-May-12	20
9-May-12	3
10-May-12	32
11-May-12	24
12-May-12	15
13-May-12	52
14-May-12	20
15-May-12	15
16-May-12	39
17-May-12	29
18-May-12	33
19-May-12	5
20-May-12	15
21-May-12	26
22-May-12	68
23-May-12	22
24-May-12	10
25-May-12	35
26-May-12	10
27-May-12	20
28-May-12	20
29-May-12	31
30-May-12	5
31-May-12	63
1-Jun-12	60
2-Jun-12	30
3-Jun-12	20
4-Jun-12	10
5-Jun-12	60
6-Jun-12	12
7-Jun-12	23
8-Jun-12	0
9-Jun-12	10
10-Jun-12	10
11-Jun-12	20
12-Jun-12	13
13-Jun-12	110
14-Jun-12	87
15-Jun-12	23
16-Jun-12	17
17-Jun-12	20
18-Jun-12	27
19-Jun-12	27
20-Jun-12	0
21-Jun-12	23
22-Jun-12	30
23-Jun-12	16
24-Jun-12	10
25-Jun-12	20
26-Jun-12	14
27-Jun-12	66
28-Jun-12	10
29-Jun-12	46
30-Jun-12	62
1-Jul-12	31
2-Jul-12	27
3-Jul-12	0
4-Jul-12	50
5-Jul-12	30
6-Jul-12	14
