date	positive	negative
18-Mar-12	1051	289
25-Mar-12	1296	298
1-Apr-12	973	291
8-Apr-12	3686	744
15-Apr-12	957	506
22-Apr-12	1238	800
29-Apr-12	759	363
6-May-12	667	358
13-May-12	905	778
20-May-12	728	314
27-May-12	1294	490
3-Jun-12	1046	374
10-Jun-12	976	396
17-Jun-12	1146	284
24-Jun-12	1495	528
1-Jul-12	1230	374
8-Jul-12	1193	515
15-Jul-12	1112	331
22-Jul-12	1528	652
29-Jul-12	1070	2456
5-Aug-12	995	595
12-Aug-12	1331	622
19-Aug-12	1136	427
26-Aug-12	1050	410
2-Sep-12	1222	518
9-Sep-12	914	405
16-Sep-12	888	424
23-Sep-12	2314	612
30-Sep-12	1104	412
7-Oct-12	1236	616
14-Oct-12	1228	423
21-Oct-12	1153	660
28-Oct-12	1128	467
4-Nov-12	1076	401
11-Nov-12	880	584
18-Nov-12	1030	319
25-Nov-12	1919	402
2-Dec-12	2160	520
9-Dec-12	1316	307
16-Dec-12	1487	381
23-Dec-12	1870	1648
30-Dec-12	1672	940
6-Jan-13	2527	721
13-Jan-13	1583	562
20-Jan-13	1988	588
27-Jan-13	1430	638
3-Feb-13	1568	674
10-Feb-13	1551	479
17-Feb-13	1343	396
24-Feb-13	1498	517
3-Mar-13	1183	468
10-Mar-13	1671	414
17-Mar-13	232	192
