date	close
15-Mar-12	91
16-Mar-12	135
17-Mar-12	136
18-Mar-12	121
19-Mar-12	171
20-Mar-12	150
21-Mar-12	278
22-Mar-12	234
23-Mar-12	173
24-Mar-12	70
25-Mar-12	43
26-Mar-12	137
27-Mar-12	106
28-Mar-12	102
29-Mar-12	258
30-Mar-12	164
31-Mar-12	90
1-Apr-12	36
2-Apr-12	153
3-Apr-12	75
4-Apr-12	81
5-Apr-12	117
6-Apr-12	154
7-Apr-12	205
8-Apr-12	178
9-Apr-12	362
10-Apr-12	157
11-Apr-12	155
12-Apr-12	206
13-Apr-12	108
14-Apr-12	58
15-Apr-12	63
16-Apr-12	105
17-Apr-12	63
18-Apr-12	135
19-Apr-12	176
20-Apr-12	167
21-Apr-12	37
22-Apr-12	72
23-Apr-12	118
24-Apr-12	88
25-Apr-12	100
26-Apr-12	121
27-Apr-12	130
28-Apr-12	137
29-Apr-12	87
30-Apr-12	325
1-May-12	438
2-May-12	197
3-May-12	162
4-May-12	53
5-May-12	35
6-May-12	163
7-May-12	42
8-May-12	54
9-May-12	56
10-May-12	114
11-May-12	167
12-May-12	64
13-May-12	83
14-May-12	271
15-May-12	87
16-May-12	151
17-May-12	778
18-May-12	211
19-May-12	603
20-May-12	106
21-May-12	58
22-May-12	85
23-May-12	21
24-May-12	86
25-May-12	79
26-May-12	217
27-May-12	87
28-May-12	42
29-May-12	100
30-May-12	74
31-May-12	167
1-Jun-12	173
2-Jun-12	142
3-Jun-12	62
4-Jun-12	111
5-Jun-12	70
6-Jun-12	159
7-Jun-12	216
8-Jun-12	130
9-Jun-12	90
10-Jun-12	113
11-Jun-12	112
12-Jun-12	149
13-Jun-12	142
14-Jun-12	423
15-Jun-12	232
16-Jun-12	185
17-Jun-12	164
18-Jun-12	218
19-Jun-12	115
20-Jun-12	183
21-Jun-12	212
22-Jun-12	94
23-Jun-12	138
24-Jun-12	136
25-Jun-12	187
26-Jun-12	70
27-Jun-12	107
28-Jun-12	74
29-Jun-12	30
30-Jun-12	128
1-Jul-12	71
2-Jul-12	202
3-Jul-12	354
4-Jul-12	63
5-Jul-12	86
6-Jul-12	126
7-Jul-12	107
8-Jul-12	104
9-Jul-12	167
10-Jul-12	139
11-Jul-12	147
12-Jul-12	144
13-Jul-12	96
14-Jul-12	80
15-Jul-12	39
16-Jul-12	113
17-Jul-12	228
18-Jul-12	119
19-Jul-12	115
20-Jul-12	132
21-Jul-12	128
22-Jul-12	130
23-Jul-12	165
24-Jul-12	61
25-Jul-12	247
26-Jul-12	102
27-Jul-12	162
28-Jul-12	131
29-Jul-12	95
30-Jul-12	123
31-Jul-12	61
1-Aug-12	220
2-Aug-12	87
3-Aug-12	95
4-Aug-12	53
5-Aug-12	73
6-Aug-12	79
7-Aug-12	139
8-Aug-12	61
9-Aug-12	314
10-Aug-12	117
11-Aug-12	100
12-Aug-12	75
13-Aug-12	81
14-Aug-12	111
15-Aug-12	75
16-Aug-12	82
17-Aug-12	40
18-Aug-12	81
19-Aug-12	144
20-Aug-12	180
21-Aug-12	100
22-Aug-12	59
23-Aug-12	102
24-Aug-12	14400
25-Aug-12	6530
26-Aug-12	1387
27-Aug-12	1058
28-Aug-12	762
29-Aug-12	728
30-Aug-12	379
31-Aug-12	518
1-Sep-12	289
2-Sep-12	579
3-Sep-12	351
4-Sep-12	236
5-Sep-12	253
6-Sep-12	140
7-Sep-12	164
8-Sep-12	141
9-Sep-12	62
10-Sep-12	152
11-Sep-12	144
12-Sep-12	193
13-Sep-12	220
14-Sep-12	172
15-Sep-12	163
16-Sep-12	734
17-Sep-12	231
18-Sep-12	315
19-Sep-12	177
20-Sep-12	135
21-Sep-12	165
22-Sep-12	120
23-Sep-12	106
24-Sep-12	87
25-Sep-12	225
26-Sep-12	164
27-Sep-12	165
28-Sep-12	82
29-Sep-12	181
30-Sep-12	164
1-Oct-12	259
2-Oct-12	680
3-Oct-12	425
4-Oct-12	156
5-Oct-12	216
6-Oct-12	91
7-Oct-12	72
8-Oct-12	463
9-Oct-12	102
10-Oct-12	1050
11-Oct-12	1369
12-Oct-12	697
13-Oct-12	423
14-Oct-12	406
15-Oct-12	395
16-Oct-12	461
17-Oct-12	6906
18-Oct-12	2796
19-Oct-12	1606
20-Oct-12	1096
21-Oct-12	721
22-Oct-12	2149
23-Oct-12	1136
24-Oct-12	1138
25-Oct-12	467
26-Oct-12	219
27-Oct-12	238
28-Oct-12	201
29-Oct-12	297
30-Oct-12	361
31-Oct-12	250
1-Nov-12	456
2-Nov-12	252
3-Nov-12	274
4-Nov-12	131
5-Nov-12	208
6-Nov-12	293
7-Nov-12	385
8-Nov-12	557
9-Nov-12	436
10-Nov-12	398
11-Nov-12	374
12-Nov-12	1022
13-Nov-12	657
14-Nov-12	302
15-Nov-12	517
16-Nov-12	754
17-Nov-12	30
18-Nov-12	179
19-Nov-12	92
20-Nov-12	182
21-Nov-12	430
22-Nov-12	177
23-Nov-12	116
24-Nov-12	133
25-Nov-12	62
26-Nov-12	93
27-Nov-12	169
28-Nov-12	2546
29-Nov-12	381
30-Nov-12	124
1-Dec-12	112
2-Dec-12	199
3-Dec-12	56
4-Dec-12	181
5-Dec-12	52
6-Dec-12	119
7-Dec-12	90
8-Dec-12	80
9-Dec-12	49
10-Dec-12	132
11-Dec-12	150
12-Dec-12	149
13-Dec-12	119
14-Dec-12	74
15-Dec-12	533
16-Dec-12	188
17-Dec-12	77
18-Dec-12	36
19-Dec-12	33
20-Dec-12	215
21-Dec-12	202
22-Dec-12	57
23-Dec-12	67
24-Dec-12	83
25-Dec-12	70
26-Dec-12	177
27-Dec-12	321
28-Dec-12	227
29-Dec-12	225
30-Dec-12	178
31-Dec-12	143
1-Jan-13	189
2-Jan-13	209
3-Jan-13	256
4-Jan-13	201
5-Jan-13	210
6-Jan-13	188
7-Jan-13	248
8-Jan-13	241
9-Jan-13	402
10-Jan-13	240
11-Jan-13	298
12-Jan-13	460
13-Jan-13	234
14-Jan-13	813
15-Jan-13	5244
16-Jan-13	3475
17-Jan-13	2604
18-Jan-13	9936
19-Jan-13	3498
20-Jan-13	880
21-Jan-13	585
22-Jan-13	504
23-Jan-13	647
24-Jan-13	336
25-Jan-13	222
26-Jan-13	163
27-Jan-13	134
28-Jan-13	204
29-Jan-13	331
30-Jan-13	245
31-Jan-13	405
1-Feb-13	163
2-Feb-13	64
3-Feb-13	514
4-Feb-13	374
5-Feb-13	164
6-Feb-13	237
7-Feb-13	224
8-Feb-13	142
9-Feb-13	52
10-Feb-13	132
11-Feb-13	145
12-Feb-13	124
13-Feb-13	175
14-Feb-13	94
15-Feb-13	72
16-Feb-13	149
17-Feb-13	187
18-Feb-13	153
19-Feb-13	39
20-Feb-13	146
21-Feb-13	242
22-Feb-13	75
23-Feb-13	71
24-Feb-13	82
25-Feb-13	169
26-Feb-13	186
27-Feb-13	232
28-Feb-13	333
1-Mar-13	250
2-Mar-13	78
3-Mar-13	67
4-Mar-13	83
5-Mar-13	144
6-Mar-13	107
7-Mar-13	164
8-Mar-13	42
9-Mar-13	49
10-Mar-13	107
11-Mar-13	191
12-Mar-13	113
13-Mar-13	136
14-Mar-13	187
15-Mar-13	50
	
